OBJECTID_1,NEIGHBORHOOD_NAME,NEIGHBORHOOD_ID,TOTALPOP_INREGISTRY,PERCENT_OBESE_,COUNT_ADULTS_OBESE,CONFIDENCE_INTERVAL95,GLOBALID,Shape__Area,Shape__Length
1,Chaffee Park,11,1467,36.94,541.9098,"(34.42, 39.46)",75bea0a9-11e9-415d-93ca-675bf7d32ff4,21916868.8330078,23530.8270000031
2,Sunnyside,62,3938,36.45,1435.401,"(34.85, 38.06)",57c95264-9845-4323-aaa4-2fc1e74d5a99,39694348.0888672,25642.4771637448
3,Highland,36,2418,24.16,584.1888,"(22.41, 25.91)",fc8276ac-33f0-477e-8da1-22fedddc72f3,32140439.6958008,23553.9570265502
4,Globeville,29,1459,36.57,533.5563,"(33.89, 39.24)",081fd19b-92a1-4c96-a59d-94dbe19102d5,57425782.2280273,42152.116892051
5,Jefferson Park,39,800,28.01,224.08,"(24.6, 31.42)",c7cd6653-0d8b-437d-a3b3-ca1fb6e61a44,13715106.5214844,17949.0269924811
6,Sun Valley,61,670,41.48,277.916,"(37.03, 45.92)",c2d69cbd-93ef-491a-97f0-91852c6213f3,17906709.1826172,21013.6957204286
7,Valverde,67,1643,39.13,642.9059,"(36.52, 41.74)",f08db272-67e8-4960-99b0-2d19ab340fc2,26766089.2797852,22063.8174268451
8,Athmar Park,1,3379,36.97,1249.2163,"(35.29, 38.65)",1db7e171-6751-486b-8a6f-6982081f6723,43089152.7192383,27352.286659703
9,Windsor,78,4443,28.87,1282.6941,"(27.43, 30.31)",31957a97-8dee-4b1d-af0e-cb862c08a501,47655074.5751953,38058.0807123324
10,Northeast Park Hill,49,3804,37.66,1432.5864,"(35.98, 39.33)",8b6352ae-6e4b-4f02-a7cf-7f0b39e021dc,92850327.8134766,41938.735792181
11,Elyria Swansea,25,2629,42.87,1127.0523,"(40.89, 44.85)",3ec4b6cd-ce1e-46db-bffd-73a87fa5ea96,72332227.1074219,35030.3981139793
12,Wellshire,73,531,17.18,91.2258,"(13.82, 20.54)",ac1d920b-dd6c-4162-8b90-0e8c50817789,25886131.9111328,21790.4508537449
13,University,64,1520,15.6,237.12,"(13.02, 18.18)",3705204c-7cfb-4152-bb80-f66e91bcca3b,34741639.7280273,27982.5661978349
14,Rosedale,53,586,19.91,116.6726,"(16.6, 23.22)",ff45a241-7ab7-4685-88da-8d644a5d8aa2,15714799.3012695,15839.8340524251
15,Cheesman Park,12,2257,16.88,380.9816,"(15.26, 18.49)",4498045d-7eaa-4c2d-a58b-6ca80ddaf8a5,14682846.8818359,15276.3440882207
16,Hilltop,37,1465,17.81,260.9165,"(15.6, 20.02)",a77e9443-df2c-42a4-b1bd-c529eddf46f3,48042249.4838867,33930.1197432326
17,Montclair,46,1298,19.06,247.3988,"(16.85, 21.27)",047490d8-4142-47fc-82d7-245c3b8004b2,28225487.1542969,21466.543056367
18,Hale,31,1869,21.78,407.0682,"(19.82, 23.74)",52f88d8f-cc14-4b9a-9933-005475fba7c5,27129100.8505859,20906.6892815983
19,North Park Hill,48,3242,29.09,943.0978,"(27.47, 30.72)",39b5d855-fa86-4212-8871-64bf11b61a2f,41661870.7055664,28876.6089819305
