OBJECTID_1,OBJECTID,NBHD_ID,NBHD_NAME,TYPOLOGY,NOTES,NBHD_IID,NBHD_NAME_1,COUNT_CHILDREN_INREGISTRYBMI,PERCENT_OBESE_,CONFIDENCE_INTERVAL95,GLOBALID,Shape__Area,Shape__Length
1,25,11,Chaffee Park, , ,12,Chaffee Park,623,20.82,"(17.47, 24.17)",2bdf4b16-1f10-4c93-be0c-911dfdac2064,21916868.8330078,23530.8270000031
2,26,62,Sunnyside, , ,63,Sunnyside,1528,17.34,"(15.38, 19.29)",53204dc2-d0ea-4f5a-ac77-b971a8d3e173,39694348.0888672,25642.4771637448
3,27,36,Highland, , ,37,Highland,602,15.21,"(12.14, 18.29)",9fffe579-c0be-4937-afc7-6f610f010710,32140439.6958008,23553.9570265502
4,28,29,Globeville, , ,30,Globeville,790,16.92,"(14.22, 19.61)",7fd80246-d828-4e2c-9932-485052dc1e24,57425782.2280273,42152.116892051
5,29,39,Jefferson Park, , ,40,Jefferson Park,288,21.27,"(13.83, 28.72)",c1ef77a1-3f6f-47bd-88f1-35ac30c2474f,13715106.5214844,17949.0269924811
6,30,61,Sun Valley, , ,62,Sun Valley,1621,13.6,"(11.63, 15.58)",8e65241f-7ab6-4499-b208-2b273516b5e1,17906709.1826172,21013.6957204286
7,31,67,Valverde, , ,68,Valverde,1150,18.93,"(16.48, 21.38)",c361c737-45fa-4df2-8614-08e25d9c6025,26766089.2797852,22063.8174268451
8,32,1,Athmar Park, , ,2,Athmar Park,2212,20.17,"(18.46, 21.89)",82ffcc62-77ba-421d-af6f-215b6badce75,43089152.7192383,27352.286659703
9,33,78,Windsor, , ,79,Windsor,1565,13.38,"(11.51, 15.25)",f9662c37-ae4c-4997-90b8-7b51ffff431b,47655074.5751953,38058.0807123324
10,35,49,Northeast Park Hill, , ,50,Northeast Park Hill,1705,17.92,"(15.93, 19.92)",953b481b-6960-4c77-9c8c-72db46e7c45f,92850327.8134766,41938.735792181
11,36,25,Elyria Swansea, , ,26,Elyria Swansea,1948,19.34,"(17.42, 21.25)",95851824-db2d-4609-b184-927bb1f822f7,72332227.1074219,35030.3981139793
12,37,73,Wellshire, , ,74,Wellshire,246,4.46,"(1.94, 6.99)",aac25258-aad5-47aa-b9f6-4417576483be,25886131.9111328,21790.4508537449
13,38,64,University, , ,65,University,417,3.93,"(2.18, 5.68)",4c921169-c9dc-4b93-86b5-45b475e2aff8,34741639.7280273,27982.5661978349
14,39,53,Rosedale, , ,54,Rosedale,151,5.52,"(1.92, 9.12)",f0a01a6e-fe1c-43cd-b4f2-3d323ab1d28d,15714799.3012695,15839.8340524251
15,40,12,Cheesman Park, , ,13,Cheesman Park,235,6.57,"(3.15, 9.98)",4a83402a-de26-4d8d-aa73-de22167438f6,14682846.8818359,15276.3440882207
16,41,37,Hilltop, , ,38,Hilltop,798,4.47,"(2.9, 6.04)",d9ae6093-0e3d-4690-9979-ba9f3918e8ad,48042249.4838867,33930.1197432326
17,42,46,Montclair, , ,47,Montclair,407,8.49,"(5.55, 11.44)",97e96102-1f3b-4d64-866b-c73dece74036,28225487.1542969,21466.543056367
18,43,31,Hale, , ,32,Hale,380,9.54,"(6.38, 12.69)",1f4079ae-d020-469c-86d2-9f016ba958af,27129100.8505859,20906.6892815983
19,44,48,North Park Hill, , ,49,North Park Hill,1225,9.99,"(8.34, 11.65)",5df312ef-50f6-47ab-a21d-2af9f82a67da,41661870.7055664,28876.6089819305
20,45,57,South Park Hill, , ,58,South Park Hill,760,7.15,"(5.38, 8.93)",34cd7e56-391c-460b-b958-d35fc8502626,41553244.940918,28857.0010914481
21,46,66,University Park, , ,67,University Park,411,6.53,"(2.92, 10.13)",e15b586a-4aba-45c5-bb01-7265452dce6c,32409535.1625977,22577.152201041
22,47,51,Platt Park, , ,52,Platt Park,324,2.08,"(0.43, 3.73)",79ea7312-e755-4734-81b5-0006df24ba69,22814495.7270508,19693.9445397433
23,48,19,College View - South Platte, , ,20,College View - South Platte,1770,19,"(16.78, 21.22)",bd0f2fcc-aec2-47b6-aa98-42a1887e288a,40670424.3212891,47137.2884098389
24,49,50,Overland, , ,51,Overland,223,18.05,"(12.22, 23.88)",de96ced2-a72d-42f8-bf51-03ea11c1d3e2,31304794.34375,27691.7141380415
25,50,54,Ruby Hill, , ,55,Ruby Hill,2424,19.4,"(17.76, 21.04)",0469de5d-40b0-45f0-ac38-fd97ed94cfcb,40476627.7382813,27363.1232997412
26,51,40,Kennedy, , ,41,Kennedy,610,10.57,"(7.71, 13.43)",808c9a74-55be-4378-a4bc-66bbd9274aef,19575087.9892578,23549.2355708513
27,52,32,Hampden, , ,33,Hampden,1667,11.68,"(10.04, 13.32)",e6d0e662-23d2-4135-860f-b90462ea8ca4,78729410.1860352,62375.6577235782
28,53,3,Baker, , ,4,Baker,391,16.43,"(12.62, 20.23)",ce37d899-ae0c-41b9-9433-ef481e948195,41583761.855957,32991.5436866291
29,2,27,Fort Logan, , ,28,Fort Logan,953,14.91,"(12.38, 17.43)",02cd9a37-09de-4441-a237-91073337c66f,73992433.8520508,51921.5254350606
