OBJECTID_1,NBHD_ID,NBHD_NAME,FIPS,LIFE_EXPECTANCY,COUNTY,TRACT_NAME,LE_2010201,LE_STDERRO,LE_L95CI,LE_U95CI,LE_STATE,STFID,GLOBALID,Shape__Area,Shape__Length
1,11,Chaffee Park,8031000201,80.5 Years (95% C.I. 76.8 - 84.2 Years),DENVER,Census Tract 2.01,80.5,1.89,76.8,84.2,80.5,08031000201,a44e7f65-0eba-4a5b-b019-87629b61981c,21916868.8330078,23530.8270000031
2,62,Sunnyside,8031000401,77.7 Years (95% C.I. 73.8 - 81.6 Years),DENVER,Census Tract 4.01,77.7,1.98,73.8,81.6,80.5,08031000401,e3b2ecae-f7fb-4a5a-b322-ec72be5d1674,39694348.0888672,25642.4771637448
3,36,Highland,8031001102,78 Years (95% C.I. 73.9 - 82.1 Years),DENVER,Census Tract 11.02,78,2.09,73.9,82.1,80.5,08031001102,7b0fa556-731c-4505-aee0-6b7e66371922,32140439.6958008,23553.9570265502
4,29,Globeville,8031001500,72.8 Years (95% C.I. 68.9 - 76.7 Years),DENVER,Census Tract 15,72.8,1.97,68.9,76.7,80.5,08031001500,f28b9e49-36e3-409d-8e51-b5b524d6f507,57425782.2280273,42152.116892051
5,39,Jefferson Park,8031000600,80.9 Years (95% C.I. 76.1 - 85.7 Years),DENVER,Census Tract 6,80.9,2.45,76.1,85.7,80.5,08031000600,a85b33a7-d155-48f0-8da9-5df59797a93b,13715106.5214844,17949.0269924811
6,61,Sun Valley,8031000800,75 Years (95% C.I. 68.9 - 81.1 Years),DENVER,Census Tract 8,75,3.12,68.9,81.1,80.5,08031000800,94ca8abd-a277-48b5-ab89-90e9da186829,17906709.1826172,21013.6957204286
7,67,Valverde,8031001000,72.2 Years (95% C.I. 68.6 - 75.8 Years),DENVER,Census Tract 10,72.2,1.84,68.6,75.8,80.5,08031001000,ae2f4fc3-27f0-4128-8cef-53e952acee72,26766089.2797852,22063.8174268451
8,1,Athmar Park,8031001301,80.1 Years (95% C.I. 75.9 - 84.3 Years),DENVER,Census Tract 13.01,80.1,2.13,75.9,84.3,80.5,08031001301,2c78b6fe-7c90-4f83-82ce-2709ab4f58ff,43089152.7192383,27352.286659703
9,78,Windsor,8031007088,77.6 Years (95% C.I. 74.3 - 80.9 Years),DENVER,Census Tract 70.88,77.6,1.69,74.3,80.9,80.5,08031007088,8520b75c-599f-4c6e-ad78-e1450df2ce13,47655074.5751953,38058.0807123324
10,49,Northeast Park Hill,8031004102,77.1 Years (95% C.I. 73.1 - 81.1 Years),DENVER,Census Tract 41.02,77.1,2.05,73.1,81.1,80.5,08031004102,ab82b32c-e650-472e-9a63-11946623d4c2,92850327.8134766,41938.735792181
11,25,Elyria Swansea,8031003500,76.2 Years (95% C.I. 72.6 - 79.8 Years),DENVER,Census Tract 35,76.2,1.82,72.6,79.8,80.5,08031003500,526c1c65-85bd-4757-ac1b-aa951de5c4f8,72332227.1074219,35030.3981139793
12,73,Wellshire,8031004002,83.5 Years (95% C.I. 80.6 - 86.4 Years),DENVER,Census Tract 40.02,83.5,1.5,80.6,86.4,80.5,08031004002,5b888c72-f261-412d-aed1-5ac4070ddb2c,25886131.9111328,21790.4508537449
13,64,University,8031003004,83.8 Years (95% C.I. 78.8 - 88.8 Years),DENVER,Census Tract 30.04,83.8,2.57,78.8,88.8,80.5,08031003004,ffb2803d-86b2-4f4c-b8d6-04abcc2bbfdc,34741639.7280273,27982.5661978349
14,53,Rosedale,8031003002,78 Years (95% C.I. 74.5 - 81.5 Years),DENVER,Census Tract 30.02,78,1.81,74.5,81.5,80.5,08031003002,32198878-4fe4-4557-940b-b0b2d1ffbbb3,15714799.3012695,15839.8340524251
15,12,Cheesman Park,8031003201,79.6 Years (95% C.I. 73.9 - 85.3 Years),DENVER,Census Tract 32.01,79.6,2.92,73.9,85.3,80.5,08031003201,7252f8a5-fe2f-47d0-a13f-191a11460147,14682846.8818359,15276.3440882207
16,37,Hilltop,8031004303,85.9 Years (95% C.I. 82.1 - 89.7 Years),DENVER,Census Tract 43.03,85.9,1.94,82.1,89.7,80.5,08031004303,74ba4fe6-3d72-4fd5-bd05-4aa73382d16c,48042249.4838867,33930.1197432326
