OBJECTID,LOCATION,FORMAL_NAME,LOC_CODE,PARK_TYPE,PARK_CLASS,GIS_ACRES,DESIGNATED,FIRST_AQ_DATE,MASTER_PLAN,MAINT_DIST,COUNCIL_DIST,POLICE_DIST,CROSS_STREETS,ADDRESS_ID,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,ZIP,LATITUDE,LONGITUDE,MARKETING_CODE,FACILITIES,DIAGRAM,PHOTO,PARCEL_MATCH,BND_QC,GLOBALID,Shape__Area,Shape__Length
1,Central Park Rec Center,Central Park Rec Center,567,Grounds,Recreation Center,10.59730911,Yes - 2014,2010,2010,NE,8,2,MLK Blvd & Elmira St,350100,9651 E Martin Luther King Jr Blvd,,Denver,CO,,39.76087547,-104.87453713,,"Recreation Center, Bike/Pedestrian Path",,,Yes,2/14/2011 12:00:00 AM,3e4682e4-ce05-472a-9f0e-2167b1bccedb,461616.928222656,2866.81935792801
3,Centennial,Centennial Gardens,901,Park,Special Use,5.35683716,Yes - 2014,1976,None,Downtown,3,6,Speer Blvd & Elitch Cir,,1301 Elitch Cir,,Denver,CO,,39.75257955,-105.00991793,PK,"Benches, Fountain, Bike/Pedestrian Path, South Platte River Trail, Flower Beds, Natural Areas, Restroom, Drinking Fountain",ParkArt_Centennial Gardens.pdf,centennialpark.jpg,Yes,12/21/2023 12:00:00 AM,fc5443ad-005e-4c44-941b-1b978bfffbb1,233342.892578125,2139.76487510013
4,Denver Botanic Gardens,Denver Botanic Gardens,356,Park,Special Use,22.75194306,Partial - 1956,1890,2007,E,10,3,10th Av & York St,66355,1005 N York St,,Denver,CO,,39.73202721,-104.96149188,,"Gardens, Fountains, Paid Admission Required", ,no_imagerec.gif,Yes,9/16/2009 12:00:00 AM,d2652a9f-1ed7-4c1c-9608-75ea1de919f4,991070.672851563,6357.83819386638
5,Florida & Raritan,Sanderson Gulch - Florida & Raritan,851,Park,Linear,15.612488,Yes,1970,2010,SW,7,4,Florida Av & Raritan St,,1800 W Florida Ave,,Denver,CO,,39.68889697,-105.01212295,,"Bike/Pedestrian Path, Sanderson Gulch Trail, Basball / Softball Field, Picnic Tables, Natural Areas",ParkArt_Sanderson Gulch Open Space.pdf,sandersongulchpark.jpg,Yes,8/11/2009 12:00:00 AM,20fb2555-84b6-411e-8bd5-524f0d07771d,680077.2578125,4347.05700561923
6,Lowry Open Space,Lowry Open Space,L28,Open Space,Open Space,57.07208939,Yes - 2014/2024,2013,2000,NE,5,3,Yosemite St & Sports Blvd,378758,8592 E Sports Blvd,,Denver,CO,,39.71927285,-104.8807909,PK,"Dog Park, Natural Areas, Bike/Pedestrian Path",ParkArt_Lowry Open Space.pdf,,No,3/6/2014 12:00:00 AM,5547dc26-6e8c-4754-ac63-de9823209779,2486050.26757813,10024.5821928462
7,Montclair Rec Center,Montclair Recreation Center,L12,Grounds,Recreation Center,5.61384034,Yes - 2014,2002,None,NE,5,3,8th Ave & Ulster Wy,174032,729 N Ulster Way,,Denver,CO,,39.72742602,-104.89508112,,Recreation Center, ,,Yes,1/1/2014 12:00:00 AM,620493b7-9317-457e-b560-b0c671174cb2,244537.90625,2010.43469208859
8,Parkfield,Parkfield,516,Park,Regional,88.32440837,Yes - 1993 / 2014,1992,2008,NE,11,5,53rd Av & Chambers Rd,171998,15555 E 53rd Ave,,Denver,CO,,39.79181259,-104.80506474,PK,"Recreation Center, Natural Areas, Picnic Shelter, Restroom, Playground, Skate Park, Tennis Court, Basketball Court, Baseball / Softball Field, Football Field, Soccer Field, Interactive Fountain, Lake, Picnic Area, Dog Park, Bike Skills Course",ParkArt_Parkfield.pdf,parkfieldpark.jpg,Yes,5/19/2009 12:00:00 AM,7643aa1d-ae1f-49ff-9b54-1d40f4a29f8f,3847395.83105469,8799.85869825745
9,Echo Lake,Echo Lake Park,M19,Park,Mountain,602.76150977,Yes,1915,2008,MP,None,None,,,13261 State Highway 103,,Idaho Springs,CO,80452,39.65936373,-105.6013283,MP,"Echo Lake Lodge, Restaurant, Historic Shelter, Picnic Area, Picnic Tables, Restroom, Fishing, Trails, Trail Connections, Chicago Lakes Trail",Echo_Lake_Parkmap.pdf,echolakepark.jpg,,5/24/2010 12:00:00 AM,ef2cce80-ee21-43c0-8318-1c3386019ea7,26256186.340332,26522.3751422986
10,Skyline,Skyline Park,332,Park,Special Use,2.56073059,Yes - 1994,1973,2002,Downtown,10,6,Arapahoe St -15th St To 18th St,55156,1701 Arapahoe St,,Denver,CO,,39.74856258,-104.99521204,PK,"Plaza, Fountain, Picnic Tables, Restroom, Benches, Drinking Fountain",ParkArt_Skyline Park.pdf,skylinepark.jpg,Yes,12/11/2009 12:00:00 AM,bb2bd488-075a-4ee7-84e6-615986084f2b,111544.979980469,2962.05321244612
11,Summit Lake,Summit Lake Park,M50,Park,Mountain,161.64691032,Yes,1924,2008,MP,None,None,,,,,,CO,,39.59821796,-105.64346261,MP,"Historic Shelter, Restroom, Trails & Trail Connections, Views, Wlildlife Viewing, Chicago Lakes Overlook",SummitLake_ParkMap.pdf,summitlakemtnpark.jpg,,6/25/2010 12:00:00 AM,2df8bb59-6427-4a88-b7e4-e0b87847fe03,7041311.24755859,13194.2919936539
12,Genesee,Genesee Park,M26,Park,Mountain,2407.00803446,Yes,1912-1937,2008,MP,None,None,,,26771 Genesee Lane,,Golden,CO,80401,39.71529616,-105.31275491,MP,"Views, Bison Herd, Trails, Picnic Shelter, Picnic Tables, Restroom, Chief Hosa Lodge, Event Facility, Campgrounds, Ropes Course, Beaver Brook Trailhead, Beaver Brook Trail, Patrick House Trailhead, Genessee Mountain Trail, American Bison Trail",Genesee_ParkMap.pdf,geneseepark.jpg,,5/20/2010 12:00:00 AM,69182314-c7c4-4c41-b6f8-ff19e273e7b0,104848850.581543,79057.2850211488
13,Katherine Craig,Katherine Craig Park,M12,Park,Mountain,52.35082178,Yes,1937,2008,MP,None,None,,,25419 US Highway 40,,Golden,CO,80401,39.7116713,-105.28789558,,"Natural Open Space, Special Use Activities", ,no_imagerec.gif,,5/14/2010 12:00:00 AM,5d005ccb-be2e-4d35-9738-caef093b465a,2280392.67431641,8130.212444726
15,O'Fallon,O'Fallon Park,M40,Park,Mountain,814.6290755,Yes,1938,2008,MP,None,None,,,25500 State Highway 74,,Evergreen,CO,80439,39.64620756,-105.28801801,MP,"Picnic Area, Picnic Tables, West Ridge Trail, Meadow View Trail, Bear Creek Trail, Chmney Shelter",corwina_ofallon_pence.pdf,ofallonpark.jpg,,5/21/2010 12:00:00 AM,351215e4-599f-4084-9f72-12e3fe7937bd,35485100.5854492,39133.9904127807
